# Irregular inflections — the forms no suffix rule can reach.  GENERATED; do
# not hand-edit.
#
# Regenerate:
#   ./crates/verb-synonyms-gen/fetch-sources.sh /tmp/verbsyn
#   cargo run -p verb-synonyms-gen -- irregulars \
#       --wordnet /tmp/verbsyn/WordNet-3.0/dict \
#       -o crates/verb-synonyms/src/irregular_forms.tsv
#
# SOURCE: WordNet 3.0 (Princeton University, 2006) — `verb.exc` and `noun.exc`
# out of WordNet-3.0.tar.gz, sha256 640db279…d3a52.  The notice Princeton's
# licence requires is in THIRD-PARTY-NOTICES.md at the repository root.  The
# DB-only WNdb-3.0.tar.gz carries neither file, which is why fetch-sources.sh
# takes the full tarball.
#
# FORMAT: one `form<TAB>base` per line.  A form appears on SEVERAL lines when
# WordNet gives it more than one base — `axes` is `ax` and `axis`, `singing` is
# `sing` and `singe`, `overflown` is `overflow` and `overfly` — which is why the
# reader hands back a slice and lets the story's own dictionary choose.
#
# SORTED, and unlike synonym_groups.tsv that is safe: nothing here depends on
# line order.  A form's bases are alternative readings of one spelling with no
# ranking between them available or wanted, so the file is sorted to be
# greppable and to diff cleanly across a regeneration.
#
# VERBS AND NOUNS BOTH.  `lit` → `light` is the motivating case, but the
# consumer (`vocab::stems` in `app`) is asked about every position in a command,
# so `mice` → `mouse` is the same case one slot to the right.  A pair that both
# lists give is written once.
#
# 2417 verb rows, 2107 noun rows, 4520 lines, 4424 distinct forms.
aardwolves	aardwolf
bacteriostases	bacteriostasis
bacula	baculum
bade	bid
bagged	bag
bagging	bag
bains marie	bain marie
bains-marie	bain-marie
ballistae	ballista
ballyragged	ballyrag
ballyragging	ballyrag
bambini	bambino
bandeaux	bandeau
bandied	bandy
banditti	bandit
bani	ban
banjoes	banjo
banned	ban
banning	ban
barklice	barklouse
barramundies	barramundi
barred	bar
barrelled	barrel
barrelling	barrel
barring	bar
bases	base
bases	basis
bases on balls	base on balls
bases-on-balls	base on balls
basidia	basidium
basified	basify
basileis	basileus
bassi	basso
bastinadoes	bastinado
bateaux	bateau
batfishes	batfish
batted	bat
batting	bat
bayonetted	bayonet
bayonetting	bayonet
beadsmen	beadsman
beadsmen	bedesman
beaten	beat
beatified	beatify
beautified	beautify
beaux	beau
became	become
became known	become known
beches-de-mer	beche-de-mer
becomes known	become known
bedded	bed
bedding	bed
bedevilled	bedevil
bedevilling	bedevil
bedimmed	bedim
bedimming	bedim
been	be
beeves	beef
befallen	befall
befell	befall
befitted	befit
befitting	befit
befogged	befog
befogging	befog
began	begin
begat	beget
begetting	beget
begged	beg
begging	beg
beginning	begin
begirt	begird
begot	beget
begotten	beget
begun	begin
beheld	behold
beholden	behold
behooves	behoof
bejewelled	bejewel
bejewelling	bejewel
bellied	belly
belly-flopped	belly-flop
belly-flopping	belly-flop
belying	belie
benefitted	benefit
benefitting	benefit
benempt	bename
bent	bend
berried	berry
bersaglieri	bersagliere
besetting	beset
besought	beseech
bespoke	bespeak
bespoken	bespeak
bestirred	bestir
bestirring	bestir
bestrewn	bestrew
bestrid	bestride
bestridden	bestride
bestrode	bestride
betaken	betake
bethought	bethink
betook	betake
betted	bet
betting	bet
bevelled	bevel
bevelling	bevel
bhishties	bheesty
bhishties	bhishti
biassed	bias
biassing	bias
bibliothecae	bibliotheca
bicennaries	bicentenary
bicennaries	bicentennial
bidden	bid
bidding	bid
bijoux	bijou
bilboes	bilbo
billets-doux	billet-doux
billfishes	billfish
bimboes	bimbo
binned	bin
binning	bin
bird-dogged	bird-dog
bird-dogging	bird-dog
bisectrices	bisectrix
bit	bite
bitted	bit
bitten	bite
bitting	bit
bivouacked	bivouac
bivouacking	bivouac
blabbed	blab
blabbing	blab
blackberried	blackberry
blackfeet	blackfoot
blackfishes	blackfish
blacklegged	blackleg
blacklegging	blackleg
blastemata	blastema
blastulae	blastula
blatted	blat
blatting	blat
bled	bleed
blest	bless
blew	blow
blew one's nose	blow one's nose
blindfishes	blindfish
blipped	blip
blipping	blip
blobbed	blob
blobbing	blob
bloodied	bloody
blotted	blot
blotting	blot
blowfishes	blowfish
blowing one's nose	blow one's nose
blown	blow
blows one's nose	blow one's nose
blubbed	blub
blubbing	blub
blue-pencilled	blue-pencil
blue-pencilling	blue-pencil
bluefishes	bluefish
blurred	blur
blurring	blur
boarfishes	boarfish
bobbed	bob
bobbing	bob
bodied	body
bogged down	bog down
bogged-down	bog-down
bogging down	bog down
bogging-down	bog-down
bogs down	bog down
bogs-down	bog-down
bok	boschbok
boleti	boletus
bolivares	bolivar
bolsheviki	bolshevik
bonefishes	bonefish
bongoes	bongo
bonitoes	bonito
booby-trapped	booby-trap
booby-trapping	booby-trap
booklice	booklouse
bookshelves	bookshelf
bootlegged	bootleg
bootlegging	bootleg
bopped	bop
bopping	bop
boraces	borax
borborygmi	borborygmus
bordereaux	bordereau
bore	bear
born	bear
borne	bear
botargoes	botargo
bottle-fed	bottle-feed
bought	buy
bound	bind
box-kodaks	box kodak
boxfishes	boxfish
brachia	brachium
bragged	brag
bragging	brag
brainchildren	brainchild
branchiae	branchia
brants	brant
brants	brent
bravadoes	bravado
bravoes	bravo
breast-fed	breast-feed
bred	breed
bregmata	bregma
brethren	brother
brevetted	brevet
brevetting	brevet
brimmed	brim
brimming	brim
broadcast media	broadcast medium
broadleaves	broadleaf
broke	break
broken	break
bronchi	bronchus
brothers-in-law	brother-in-law
brought	bring
browbeaten	browbeat
brutified	brutify
bryozoa	bryozoan
buboes	bubo
buckoes	bucko
buckteeth	bucktooth
budded	bud
budding	bud
buffaloes	buffalo
bugged	bug
bugging	bug
built	build
bullae	bulla
bulldogging	bulldog
bullied	bully
bullshitted	bullshit
bullshitting	bullshit
bullwhipped	bullwhip
bullwhipping	bullwhip
bullyragged	bullyrag
bullyragging	bullyrag
bummed	bum
bumming	bum
bunde	bund
bureaux	bureau
bureaux de change	bureau de change
buried	bury
burnt	burn
burred	bur
burring	bur
bursae	bursa
bushbok	boschbok
bushboks	boschbok
bushelled	bushel
bushelling	bushel
busied	busy
busses	bus
butterfishes	butterfish
bypast	bypass
byssi	byssus
caballed	cabal
caballing	cabal
cacti	cactus
caddied	caddie
caddied	caddy
caddies	caddie
caddies	caddy
caddying	caddie
caddying	caddy
caducei	caduceus
caeca	caecum
caesurae	caesura
calami	calamus
calathi	calathus
calcanei	calcaneum
calcanei	calcaneus
calces	calx
calcified	calcify
calculi	calculus
caldaria	caldarium
calices	calix
calicoes	calico
calli	callus
calves	calf
calyces	calyx
cambia	cambium
came	come
camerae	camera
canaliculi	canaliculus
canalled	canal
canalling	canal
cancelled	cancel
cancelling	cancel
candelabra	candelabrum
candied	candy
candlefishes	candlefish
canned	can
canning	can
canopied	canopy
canthi	canthus
canulae	canula
canzoni	canzone
capita	caput
capitula	capitulum
capped	cap
capping	cap
capricci	capriccio
carabinieri	carabiniere
carbonadoes	carbonado
carburetted	carburet
carburetting	carburet
carcinomata	carcinoma
cargoes	cargo
carides	caryatid
carillonned	carillon
carillonning	carillon
carinae	carina
carnied	carny
carnified	carnify
caroli	carolus
carolled	carol
carolling	carol
carpi	carpus
carpogonia	carpogonium
carried	carry
carryings-on	carrying-on
caryopses	caryopsis
caryopsides	caryopsis
casefied	casefy
castrati	castrato
catabases	catabasis
cataclases	cataclasis
cataloes	catalo
catalyses	catalysis
catenae	catena
catfishes	catfish
cathari	cathar
cathexes	cathexis
catnapped	catnap
catnapping	catnap
cattaloes	cattalo
catted	cat
catting	cat
caudices	caudex
caught	catch
caules	caulis
cavatine	cavatina
cavefishes	cavefish
cavetti	cavetto
cavilled	cavil
cavilling	cavil
cavo-rilievi	cavo-rilievo
ceca	cecum
cellae	cella
cembali	cembalo
centesimi	centesimo
centra	centrum
cephalothoraces	cephalothorax
cercariae	cercaria
cercariiae	cercaria
cerci	cercus
cerebella	cerebellum
cerebra	cerebrum
certified	certify
cervices	cervix
cestuses	caestus
cesurae	cesura
chadarim	cheder
chaetae	chaeta
chaises longues	chaise longue
chalazae	chalaza
challoth	hallah
chalutzim	chalutz
channelled	channel
channelling	channel
chapaties	chapati
chapatties	chapatti
chapeaux	chapeau
chapped	chap
chapping	chap
charred	char
charring	char
chasidim	chasid
chassidim	chassid
chateaux	chateau
chatted	chat
chatting	chat
chazanim	chazan
chedarim	cheder
chefs-d'ouvre	chef-d'ouvre
chelae	chela
chelicerae	chelicera
cherubim	cherub
chevaux-de-frise	cheval-de-frise
chevied	chivy
chevies	chivy
chevying	chivy
chiasmata	chiasma
chiasmi	chiasmus
chid	chide
chidden	chide
children	child
chillies	chilli
chinese eddoes	chinese eddo
chinned	chin
chinning	chin
chipped	chip
chipping	chip
chiselled	chisel
chiselling	chisel
chitarroni	chitarrone
chitchatted	chitchat
chitchatting	chitchat
chivied	chivy
chivved	chiv
chivvied	chivy
chivvies	chivy
chivving	chiv
chivvying	chivy
chlamydes	chlamys
chlamyses	chlamys
chondrified	chondrify
chondromata	chondroma
chopped	chop
chopping	chop
choragi	choragus
choriambi	choriambus
chose	choose
chosen	choose
choux	chou
chromonemata	chromonema
chrysalides	chrysalis
chugged	chug
chugging	chug
chummed	chum
chumming	chum
chuvashes	chuvash
ciboria	ciborium
cicadae	cicada
cicale	cicala
cicatrices	cicatrix
ciceroni	cicerone
cicisbei	cicisbeo
cilia	cilium
cimices	cimex
cineraria	cinerarium
cingula	cingulum
cirri	cirrus
cirrocumuli	cirrocumulus
cirrostrati	cirrostratus
ciscoes	cisco
cisternae	cisterna
citified	citify
clad	clothe
cladding	clad
clammed	clam
clamming	clam
clani	clarino
clanos	clarino
clapped	clap
clapping	clap
clarified	clarify
claroes	claro
classified	classify
cleft	cleave
clemmed	clem
clemming	clem
clepsydrae	clepsydra
clept	clepe
clinandria	clinandrium
clingfishes	clingfish
clipped	clip
clipping	clip
clitella	clitellum
cloacae	cloaca
clogged	clog
clogging	clog
clopped	clop
clopping	clop
clostridia	clostridium
clotted	clot
clotting	clot
clove	cleave
cloven	cleave
cloverleaves	cloverleaf
clubbed	club
clubbing	club
clung	cling
clypei	clypeus
co-opted	coopt
co-opting	coopt
co-opts	coopts
co-ordinate	coordinate
co-ordinated	coordinate
co-ordinates	coordinate
co-ordinating	coordinate
co-starred	co-star
co-starring	co-star
coagula	coagulum
coalfishes	coalfish
cocci	coccus
coccyges	coccyx
cochleae	cochlea
cockneyfied	cockneyfy
codded	cod
codding	cod
codfishes	codfish
codices	codex
codified	codify
coelentera	coelenteron
coenuri	coenurus
cogged	cog
cogging	cog
cognomina	cognomen
cognosenti	cognosente
coiffed	coif
coiffing	coif
cola	colon
coleorhizae	coleorhiza
collegia	collegium
collied	colly
colloquia	colloquium
colluvia	colluvium
collyria	collyrium
colones	colon
colossi	colossus
columbaria	columbarium
columellae	columella
comae	coma
comatulae	comatula
combatted	combat
combatting	combat
comedones	comedo
comics	comic
comics	comic strip
commandoes	commando
committed	commit
committing	commit
compelled	compel
compelling	compel
complied	comply
complotted	complot
complotting	complot
concertanti	concertante
concerti	concerto
concerti grossi	concerto grosso
concertini	concertino
conchae	concha
concurred	concur
concurring	concur
condottieri	condottiere
condylomata	condyloma
confabbed	confab
confabbing	confab
conferred	confer
conferring	confer
confervae	conferva
congii	congius
conidia	conidium
conjunctivae	conjunctiva
conned	con
conning	con
conquistadores	conquistador
consortia	consortium
contagia	contagium
continua	continuum
contralti	contralto
controlled	control
controlling	control
conversazioni	conversazione
convolvuli	convolvulus
cooks-general	cook-general
copied	copy
copped	cop
copping	cop
copulae	copula
coquetted	coquet
coquetting	coquet
corbiculae	corbicula
coria	corium
corneae	cornea
cornua	cornu
coronae	corona
corpora	corpus
corpora lutea	corpus luteum
corpora striata	corpus striatum
corralled	corral
corralling	corral
corrigenda	corrigendum
cortices	cortex
cortinae	cortina
corybantes	corybant
coryphaei	coryphaeus
costae	costa
cothurni	cothurnus
counselled	counsel
counselling	counsel
counterplotted	counterplot
counterplotting	counterplot
countersank	countersink
countersunk	countersink
court-martialled	court-martial
court-martialling	court-martial
courts martial	court martial
couteaux	couteau
cowfishes	cowfish
coxae	coxa
crabbed	crab
crabbing	crab
cramboes	crambo
crammed	cram
cramming	cram
crania	cranium
crapped	crap
crapping	crap
crases	crasis
crawfishes	crawfish
crayfishes	crayfish
credenda	credendum
crematoria	crematorium
crept	creep
crescendi	crescendo
cribbed	crib
cribbing	crib
cribella	cribellum
cried	cry
crises	crisis
crissa	crissum
cristae	crista
criteria	criterion
cropped	crop
cropping	crop
crossbred	crossbreed
crosscutting	crosscut
cruces	crux
crucified	crucify
crura	crus
crusadoes	crusado
cruzadoes	cruzado
crying	cry
cryings	cry
ctenidia	ctenidium
cubbed	cub
cubbing	cub
cubicula	cubiculum
cudgelled	cudgel
cudgelling	cudgel
culices	culex
culpae	culpa
culs-de-sac	cul-de-sac
culti	cultus
cumuli	cumulus
cumulonimbi	cumulonimbus
cumulostrati	cumulostratus
cupelled	cupel
cupelling	cupel
cupped	cup
cupping	cup
curetted	curet
curettes	curet
curetting	curet
curiae	curia
curricula	curriculum
curried	curry
curst	curse
curtsied	curtsy
curvetted	curvet
curvetting	curvet
custodes	custos
cutes	cutis
cuticulae	cuticula
cutting	cut
cuttlefishes	cuttlefish
cyclopes	cyclops
cycloses	cyclosis
cylices	cylix
cylikes	cylix
cymae	cyma
cymatia	cymatium
cypselae	cypsela
cysticerci	cysticercus
dabbed	dab
dabbing	dab
dadoes	dado
dagged	dag
dagging	dag
dagoes	dago
dallied	dally
dammed	dam
damming	dam
damnified	damnify
damselfishes	damselfish
dandified	dandify
dapped	dap
dapping	dap
data	datum
daughters-in-law	daughter-in-law
daymio	daimio
daymios	daimio
dealfishes	dealfish
dealt	deal
debarred	debar
debarring	debar
debugged	debug
debugging	debug
debussed	debus
debusses	debus
debussing	debus
decalcified	decalcify
decemviri	decemvir
decennia	decennium
deciduae	decidua
declassified	declassify
decontrolled	decontrol
decontrolling	decontrol
decried	decry
deep-freeze	deepfreeze
deep-freezed	deepfreeze
deep-freezes	deepfreeze
deep-fried	deep-fry
deferred	defer
deferring	defer
defied	defy
definienda	definiendum
definientia	definiens
degassed	degas
degasses	degas
degassing	degas
dehumidified	dehumidify
deified	deify
delphinia	delphinium
demitted	demit
demitting	demit
demobbed	demob
demobbing	demob
demulsified	demulsify
demurred	demur
demurring	demur
demystified	demystify
denarii	denarius
denazified	denazify
denied	deny
denitrified	denitrify
denned	den
denning	den
dentalia	dentalium
dermatoses	dermatosis
descried	descry
desiderata	desideratum
desperadoes	desperado
deterred	deter
deterring	deter
detoxified	detoxify
devilfishes	devilfish
devilled	devil
devilling	devil
devitrified	devitrify
diaereses	diaeresis
diaerses	diaeresis
diagnoses	diagnosis
diagrammed	diagram
diagramming	diagram
dialled	dial
dialling	dial
dialyses	dialysis
diaphyses	diaphysis
diapophyses	diapophysis
diarthroses	diarthrosis
diastalses	diastalsis
diastases	diastasis
diastemata	diastema
diathses	diathesis
diazoes	diazo
dibbed	dib
dibbing	dib
dibbukkim	dibbuk
dichasia	dichasium
dicta	dictum
did	do
didoes	dido
diereses	dieresis
dieses	diesis
differentiae	differentia
digging	dig
dignified	dignify
dilettanti	dilettante
dilly-dallied	dilly-dally
diluvia	diluvium
dimmed	dim
dimming	dim
dingoes	dingo
dinned	din
dinning	din
diplococci	diplococcus
dipped	dip
dipping	dip
directors-general	director-general
dirtied	dirty
disannulled	disannul
disannulling	disannul
disbarred	disbar
disbarring	disbar
disbudded	disbud
disbudding	disbud
disci	discus
discoboli	discobolos
discoboli	discobolus
disembodied	disembody
disembowelled	disembowel
disembowelling	disembowel
disenthralled	disenthral
disenthralled	disenthrall
disenthralling	disenthral
disenthralling	disenthrall
disenthralls	disenthral
disenthrals	disenthrall
dishevelled	dishevel
dishevelling	dishevel
disinterred	disinter
disinterring	disinter
dispelled	dispel
dispelling	dispel
disqualified	disqualify
dissatisfied	dissatisfy
distilled	distil
distilled	distill
distilling	distil
distilling	distill
dive	diva
diversified	diversify
diverticula	diverticulum
divertimenti	divertimento
divvied	divvy
dizzied	dizzy
djinn	djinni
djinn	djinny
dodoes	dodo
dogfishes	dogfish
dogged	dog
dogging	dog
doglegged	dogleg
doglegging	dogleg
dogmata	dogma
dogteeth	dogtooth
dollarfishes	dollarfish
dollied	dolly
domatia	domatium
dominoes	domino
done	do
donned	don
donning	don
dormice	dormouse
dorsa	dorsum
dotted	dot
dotting	dot
dought	dow
dove	dive
drabbed	drab
drabbing	drab
drachmae	drachma
dragged	drag
dragging	drag
drank	drink
drawknives	drawknife
drawn	draw
dreamt	dream
drew	draw
dried	dry
dripped	drip
dripping	drip
drivelled	drivel
drivelling	drivel
driven	drive
dropped	drop
dropping	drop
drosophilae	drosophila
drove	drive
drubbed	drub
drubbing	drub
drugged	drug
drugging	drug
drumfishes	drumfish
drummed	drum
drumming	drum
drunk	drink
dryades	dryad
dubbed	dub
dubbing	dub
duelled	duel
duelling	duel
dug	dig
dui	duo
dulcified	dulcify
dummied	dummy
dunned	dun
dunning	dun
duona	duodenum
duonas	duodenum
dupondii	dupondius
duumviri	duumvir
dwarves	dwarf
dwelt	dwell
dybbukkim	dybbuk
dying	die
easied	easy
eaten	eat
eavesdropped	eavesdrop
eavesdropping	eavesdrop
ecchymoses	ecchymosis
ecclesiae	ecclesia
ecdyses	ecdysis
echidnae	echidna
echini	echinus
echinococci	echinococcus
echoes	echo
ectozoa	ectozoan
eddied	eddy
eddoes	eddo
edemata	edema
edified	edify
effluvia	effluvium
ego-tripped	ego-trip
ego-tripping	ego-trip
eidola	eidolon
eisegeses	eisegesis
eisteddfodau	eisteddfod
electrified	electrify
elenchi	elenchus
ellipses	ellipsis
eluvia	eluvium
elves	elf
elytra	elytron
elytra	elytrum
embargoes	embargo
embedded	embed
embedding	embed
embodied	embody
emboli	embolus
embussed	embus
embusses	embus
embussing	embus
emitted	emit
emitting	emit
empanelled	empanel
empanelling	empanel
emphases	emphasis
emporia	emporium
emptied	empty
emulsified	emulsify
enamelled	enamel
enamelling	enamel
enarthroses	enarthrosis
encephala	encephalon
encephalitides	encephalitis
encephalomata	encephaloma
enchiridia	enchiridion
enchondromata	enchondroma
encomia	encomium
endamebae	endameba
endamoebae	endamoeba
endocardia	endocardium
endocrania	endocranium
endometria	endometrium
endostea	endosteum
endostoses	endostosis
endothecia	endothecium
endothelia	endothelium
endotheliomata	endothelioma
endozoa	endozoan
enemata	enema
englutted	englut
englutting	englut
enneahedra	enneahedron
enrolled	enrol
enrolled	enroll
enrolling	enrol
enrolling	enroll
entamebae	entameba
entamoebae	entamoeba
entases	entasis
entera	enteron
enthralled	enthral
enthralled	enthrall
enthralling	enthral
enthralling	enthrall
entia	ens
entozoa	entozoan
entozoa	entozoon
entrammelled	entrammel
entrammelling	entrammel
entrapped	entrap
entrapping	entrap
envied	envy
enwound	enwind
enwrapped	enwrap
enwrapping	enwrap
epencephala	epencephalon
epentheses	epenthesis
epexegeses	epexegesis
ephemera	ephemeron
ephemerae	ephemera
ephemerides	ephemeris
ephori	ephor
epicalyces	epicalyx
epicanthi	epicanthus
epicardia	epicardium
epicedia	epicedium
epicleses	epiclesis
epididymides	epididymis
epigastria	epigastrium
epiglottides	epiglottis
epimysia	epimysium
epiphenomena	epiphenomenon
epiphyses	epiphysis
episterna	episternum
epithalamia	epithalamion
epithalamia	epithalamium
epithelia	epithelium
epitheliomata	epithelioma
epizoa	epizoan
epizoa	epizoon
epyllia	epyllion
equalled	equal
equalling	equal
equilibria	equilibrium
equipped	equip
equipping	equip
equiseta	equisetum
eringoes	eringo
errata	erratum
eryngoes	eryngo
esophagi	esophagus
espied	espy
esterified	esterify
estopped	estop
estopping	estop
etherified	etherify
etyma	etymon
eucalypti	eucalyptus
eupatridae	eupatrid
euripi	euripus
exanthemata	exanthema
excelled	excel
excelling	excel
executrices	executrix
exegeses	exegesis
exempla	exemplum
exemplified	exemplify
exordia	exordium
exostoses	exostosis
expelled	expel
expelling	expel
extolled	extol
extolled	extoll
extolling	extol
extolling	extoll
extrema	extremum
eyeteeth	eyetooth
fabliaux	fabliau
facetted	facet
facetting	facet
faciae	facia
faculae	facula
fagged	fag
fagging	fag
fallen	fall
fallfishes	fallfish
falsified	falsify
famuli	famulus
fancied	fancy
fanned	fan
fanning	fan
fantasied	fantasy
farmers-general	farmer-general
farragoes	farrago
fasciae	fascia
fasciculi	fasciculus
fathers-in-law	father-in-law
fatsoes	fatso
fatted	fat
fatting	fat
faunae	fauna
featherbedded	featherbed
featherbedding	featherbed
feculae	fecula
fed	feed
fedayeen	fedayee
feed	fee
feet	foot
fell	fall
fellaheen	fellah
fellahin	fellah
felones de se	felo de se
felos de se	felo de se
felt	feel
femora	femur
fenestellae	fenestella
fenestrae	fenestra
feriae	feria
fermate	fermata
ferried	ferry
ferulae	ferula
festschriften	festschrift
fetiales	fetial
fezzes	fez
fiascoes	fiasco
fibbed	fib
fibbing	fib
fibrillae	fibrilla
fibromata	fibroma
fibulae	fibula
ficoes	fico
fideicommissa	fideicommissum
fieldmice	fieldmouse
figged	fig
figging	fig
figs.	fig.
fila	filum
filariiae	filaria
filefishes	filefish
filled up	fill up
fimbriae	fimbria
fine-drawn	fine-draw
fine-drew	fine-draw
finned	fin
finning	fin
fishes	fish
fishwives	fishwife
fistulae	fistula
fitted	fit
fitting	fit
flabella	flabellum
flagella	flagellum
flagged	flag
flagging	flag
flagstaves	flagstaff
flambeaux	flambeau
flamines	flamen
flamingoes	flamingo
flammed	flam
flamming	flam
flannelled	flannel
flannelling	flannel
flapped	flap
flapping	flap
flatfeet	flatfoot
flatfishes	flatfish
