# Synonym groups for interactive-fiction verbs.  GENERATED; do not hand-edit.
#
# Regenerate with `verb-synonyms-gen` — see crates/verb-synonyms-gen/README.md.
# Derived from WordNet 3.0 (Princeton University) and the 12dicts 6.0.2
# lemmatized frequency list (Alan Beale, under the AGID terms).  The notices
# both licences require are in THIRD-PARTY-NOTICES.md at the repository root.
#
# FORMAT: one group per line, members separated by TABS.  There is no key
# column — every member is equal, and a word may appear in SEVERAL groups, one
# per sense.  A tab is the separator because a member may itself contain a
# space (`turn on`), and no dictionary word contains a tab.
#
# A group is one WordNet synset, filtered to words a player might type, plus —
# where a synset no story could match has a hypernym that one can — that synset
# unioned with its immediate hypernym.  Exactly one hop, never chained.
#
# AT LOOKUP, two rules define what this data means:
#   1. Lemmatise the player's word FIRST.  Members are base forms, because an IF
#      parser accepts the imperative; `illuminated` never arrives here, and if
#      the consumer skips this step a miss looks like a hole in the data instead
#      of a missing step in the caller.
#   2. Intersect the group with THIS story's dictionary and show only what
#      survives, then drop the word the player actually typed — it is in the
#      group by construction and it is the one word known to have failed.
#
# LINE ORDER IS SIGNIFICANT — DO NOT SORT THIS FILE.  The groups containing any
# given word appear in that word's own WordNet sense order, commonest sense
# first, so a consumer can walk them most-likely-meaning first and stop after
# three or four dictionary matches.  Sorting the file alphabetically destroys
# that signal silently.  Member order within a line is significant too: verbs
# the corpus actually uses come first, commonest first.
#
# Built with: sense-cap 6 band-cap 16 group-cap 12 hyponym-cap 25 gap-fill true
# From 9893 harvested IF spellings, 2078 of which WordNet knows as verbs.
# 2758 groups, 9735 memberships.
accuse	impeach	incriminate
admire	look up to
decode	decipher
deep-six	give it the deep six
defile	cloud	corrupt	sully	taint
defile	stain	sully	tarnish
deflate	puncture
demolish	pulverize
desist	refrain	abstain
detach	come away	come off
dig in	entrench
dig in	pitch in
disable	handicap	incapacitate	invalid
disk	disc	harrow
dispatch	route	send off
distance	outstrip
drag	haul	cart
drag down	bear down	bear down on	press down on	weigh down
charge	bear down
accuse	charge	blame	fault
drag up	dredge up
dream	daydream
dress	get dressed
dribble	filter	trickle
drill	bore
drive	coach
drive	tool
drive	motor
drive around	chauffeur
drool	salivate
drop in	come by	drop by
drop off	fall asleep	dope off	doze off	drift off	flake out	nod off
drug	dose
dry out	run dry
dry	dry out
dummy	dummy up
eat	lunch
eat	breakfast
ejaculate	blunder	blunder out	blurt	blurt out
enjoy	bask	relish	savor
entertain	host
entice	lure	tempt
excavate	unearth
excuse	pardon
eye	eyeball
face off	bully off
faint	pass out	swoon
fart	break wind
fetter	shackle
fiddle	shrink from
fin	break water
fire	open fire
fit	suit	accommodate
flatten	flatten out
flick	flicker
fling	splurge
flood	deluge	inundate	swamp
flush	crimson	blush	redden
flush down	wash down
fly by	whisk by	zip by
focus on	center	revolve around	center on	concentrate on	revolve about
focus	center	concentrate	pore	rivet
follow	fall out
follow	travel along
follow	abide by	comply
follow	trace
fondle	caress
footnote	annotate
force out	depose
forward	send on
fuck off	loaf	arse about	arse around	bum	bum about	bum around	loll	loll around	lounge about	lounge around
gab	yak
gag	choke	fret
gag	muzzle
gag	quip
garble	warp	distort	falsify
gel	mousse
get back	win back
get back	get even
get down	lower	take down	bring down	let down
get into	tangle with
enter	get in	get into	move into	come in	go in	go into
enter	participate
give out	emit	give off
give up	throw overboard	forego	forfeit	forgo	waive
glue	paste
gnaw	eat at	erode	gnaw at	wear away
grieve	sorrow
grieve	aggrieve
grimace	make a face	pull a face
grind	grate
groove	furrow	rut
grope	fumble
grope for	scrabble
gurgle	babble	bubble	ripple
burp	belch	bubble
gyrate	coil	spiral
ham	ham it up
hammer	forge
hang	hang up
hang	string up
harken	hark
harvest	reap	glean
haul off	cart away	cart off	haul away
head off	avoid	avert	deflect	fend off	obviate	stave off	ward off
hiccough	hiccup
hide	conceal
hide	hide out
hie	race	belt along	bucket along	hasten	pelt along	rush	rush along	speed	step on it
highlight	foreground	play up	spotlight
hike up	hitch up
hike	hike up	boost
hiss	whoosh
boo	hiss
hold	keep	maintain
hold	take hold
hold on	grasp
hold over	carry over
carry over	carry forward
holler	holler out
hone	perfect
honk	toot	beep	blare
hum	buzz	seethe
hump	hunch	hunch forward	hunch over
inch	edge
indulge	gratify	pander
infect	taint
inspect	case
insult	affront
inventory	take stock
invite	ask over	ask round
invite	tempt
jack	jack up
jar	clash	collide
jar	jolt
jar	bump around	shake up
jiggle	wiggle	joggle
jog	ramble	ramble on
jog	even up	square up
jot	jot down
jump	leap	bound	spring
keep off	avoid
keep off	stay off
keep up	prolong	sustain
kick around	kick about	knock about
kick in	set in
kindle	inflame
knock	strike hard
knock	bump
knock out	knock cold
lap	swish
lasso	rope
laugh	express joy	express mirth
laugh at	roast	guy	jest at	make fun	poke fun	rib	ridicule	roasted
launch	set up	establish	found
lay into	pitch into	lace into	tear into
lay over	stop over
lead off	lead astray
lead on	deceive	delude	fox	play a joke on	play a trick on	pull a fast one on	trick
leak	leak out
lean on	rest on	lean against
leash	rope
lie	top
lie	cap	crest
lie	sun	sunbathe
expose	sun
lie	lie in	consist	dwell
be	dwell	inhabit	live	populate
light	light up	illuminate
limber	limber up
line	run along
liquify	flux
listen in	eavesdrop
load	laden	load up
loiter	lurk	hang around	linger	loaf	lounge	mess about	mill about	mill around
linger	hover
long	yearn
look	appear	seem
look back	look backward
look into	experiment	investigate
loop	intertwine
lose	misplace
love	enjoy
enjoy	delight	revel
lurk	waylay	ambush	lie in wait
make happy	make merry	racket	revel	whoop it up
make over	rework
make over	redo	remake
map	chart
map	map out
marinate	marinade
mark	label	code	tag
mark	dimension
mask	disguise
measure	measure out
measure	meter	quantify
moan	groan
monitor	supervise
moo	low
moon	daydream
moon	moon around	moon on
motion	gesture
move	travel	go
mumble	mutter
mumble	gum
munch	crunch
nap	catch a wink
negative	veto
neigh	nicker	whicker	whinny
nosh	snack
nudge	prod	poke at
obtain	source
obtain	derive	gain
offend	pique
offer	proffer
offer	volunteer
oil	anoint
oink	squeal
paper	wallpaper
patch	patch up
pause	hesitate
pay	finance
petrify	petrified
pick up	lift up	gather up
piddle	trifle	wanton	wanton away
pig	pig it
pile	stack	heap
plague	blight
plan	be after
plan	schedule
plan	chart
plot	connive	intrigue	scheme
plot	diagram
plunk	clump
plonk	plunk	plank	plop	plump	plump down	plunk down
dive	plunk	plunge
launch	plunge
launch	set in motion
pop out	burst out
pounce	swoop
pray	beg	implore	insist
prevent	forbid	foreclose	forestall	preclude
counter	anticipate	foresee	forestall
print	publish
prod	egg on	incite
pull off	pluck	pick off	tweak
carry off	pull off	bring off	manage
carry off	bear away	bear off	carry away	take away
pull off	draw away	draw off
punch in	clock in	clock on
punch out	clock off	clock out
punt	pole
pursue	engage	prosecute
push aside	push away
push on	press on
push out	thrust out
put over	get across
put over	hold over	shelve	table	defer	postpone	put off	remit	set back
question	call into question
question	interrogate
query	question
question	interview
queue	line up	queue up
rage	ramp	storm
blow	storm
blow	drift	float	be adrift	stream
pour	stream	swarm	teem
pour	pour out
rake in	shovel in
rat	scab
raven	predate	prey
recharge	reload
recite	spell	spell out
recite	retell
recline	lean back
refill	fill again	replenish
repent	atone
repent	regret	rue
replace	supersede	supplant
replace	put back
put back	knock back	set back
replay	play back
reset	readjust
rest	breathe	take a breather
lie	rest
lie	lie down
rest	stay	remain
rest	repose	reside
recline	repose
rest	perch	roost
rest on	repose on	build on	build upon	owe
restart	resume
retract	recant
retract	shrink back
return	home
review	reexamine
review	critique
revolve around	circle around	circle round
ring	peal
rinse	rinse off
rip up	tear up	shred
roar	thunder
howl	wail	roar
bellow	roar
howl	yowl
roll down	avalanche
roll off	rattle down	rattle off	reel off
roll up	furl
root	rout
rough	rough in	rough out
rub off	rub down
run into	bump into	butt against	jar against	knock against
run off	bolt	go off	make off
run on	keep going
run out	drain
drain	debilitate
run out	run off	bolt	beetle off	bolt out
gobble	bolt
run out	expire
run through	go through	work through
sabotage	counteract	subvert	undermine	weaken
scan	glass
scrag	choke
scrape	grate
screech	creak	squeak	whine
screech	squawk
scribble	scrabble
scribble	scrawl
scrub	scour
scrub	scrub up
sculpt	grave	sculpture
scuttle	scamper	scurry	skitter
seal	seal off
seal	varnish
sear	scorch	singe
sear	char	scorch	blacken
sear	parch
secure	procure
procure	pander	pimp
seed	sow
seize	clutch
sell up	sell out
serve	staff
set up	assemble	confuse	jumble	mix up	piece	put together	tack	tack together
settle on	fixate
shade	shadow	shade off
fill in	shade
shadow	dwarf	overshadow
share	pool
share	partake	partake in
sharpen	edge
focus	sharpen
shin	scramble	clamber	skin	sputter	struggle
scramble	jumble	throw together
shine at	excel at
shock	ball over	blow out of the water	floor	take aback
shoo	shoo away	shoo off
shove	jostle
shower	lavish
shower	shower down
shriek	pipe	pipe up	shrill
shut	keep out	exclude	shut out
bar	exclude
sign	subscribe
sign	ratify
sign	initial
sign	contract	sign on	sign up
sign	signal	flag
sign	bless
sing	whistle
sit	sit around
sit up	stay up
sketch	chalk out
sketch	outline
skim	plane
skim	skim over
slam	bang
sleep	slumber
sleep in	sleep late
sleep in	live in
slice	slit
slice	slice up
slice through	slice into
sling	catapult
smack	thwack
smear	blur	smudge
smear	blood
smear	denigrate	slander	sully
smell	smack	reek
smite	afflict
smoke	fume
smooch	spoon
smooth	plane
smooth	sand	sandpaper
snap	snarl
snap at	bite off
sniff	whiff
snooze	doze
snort	huff
snort	take a hit
snuff	snuffle
sniffle	blubber	snuffle
blubber	blubber out
sniff	sniffle
sow	sow in
spill	slop	splatter
spill	run out
spirit	spirit up
spit	spew
spew	spew out
spit out	sputter
spit	spit out
cough out	spit out	cough up	spit up
spur	goad
needle	goad
squeal	confess
stab	knife
stamp	stomp	stump
stamp	frank	postmark
stamp	meter
stamp	stereotype
stand	remain firm
stand back	stay away
star	asterisk
stare	gaze
startle	galvanize
starve	crave	hunger	lust	thirst
stash	lay away	cache	hive up	hoard	squirrel away
steal	slip
step	tread
step	abuse	mistreat
step	pace
step in	interfere	intervene
step on	tread on
step up	escalate	intensify
step up	rev up
rev	rev up
stick	wedge	deposit	lodge
deposit	bank
stick around	stand by	stick about
stick	stay	stick around	stay put
stay	abide	bide
stick on	plaster	plaster over
stick on	affix	post
affix	append	add on	supplement
stretch	stretch along
strike back	retaliate
strip	deprive	divest
stroll	saunter
stud	dot
stun	sandbag
stun	daze
surprise	amaze	astonish	astound
surprise	storm
suspend	freeze
swab	dab
sweep	brush
sweep	sail
sweep	broom
drag	sweep	drag in	sweep up	tangle	embroil
drag	get behind	drop back	drop behind	hang back	trail
knot	tangle
swivel	pivot
table	tabulate
take up	seize on	hook on	fasten on	latch on
talk about	discuss	discourse
converse	discourse	interview
talk about	talk of
tangle	dishevel	tousle
tangle	entangle	mat	snarl
tape	videotape
taste	savor
tear off	tear away
threaten	endanger	imperil	jeopardize	menace	peril
throw overboard	deep-six
tickle	thrill	vibrate
shiver	shudder	thrill	throb
time	clock
tinkle	chink	clink
tip	fee
tip	topple	tumble
toe	toenail
trade	merchandise	traffic
trade	market	merchandise
shop	market
trade	import	merchandise
trade	export	merchandise
trade	trade in
trample	tread
tramp down	trample	tread down
transfer	reassign
transfer	import
transfer	export
transfer	transplant
trap	pin down
trap	snare
trap	pin	immobilize
trash	junk	scrap
trash	tear apart	pan
travel	journey	tour
tune	tune up
turn	change state
turn around	swing about	swing around
turn back	backtrack	double back
turn on	switch on
turn to	address
twist	wrestle	squirm	worm	wriggle	writhe
unbalance	derange
uncover	reveal	bring out	unveil
undo	unmake
unfold	blossom	blossom forth	blossom out
unplug	disconnect
unroll	wind off	unwind
unroll	unfurl
untangle	disentangle	extricate
unknot	untangle	unravel
unwind	disentangle
upset	disconcert	embarrass
disturb	upset	trouble
use	apply	employ	exercise	exert	utilize
use	apply	employ	implement	utilize
vandalise	vandalize
wail	mewl	whimper
walk around	walk about
walk away	walk off
waltz	waltz around
warble	quaver
warble	yodel
warm	warm up
limber up	warm up	loosen up
wash	rinse
wash	launder
wash	wash off	wash away	wash out
watch	witness
water	irrigate
wave	beckon
wear	have on
weave	interweave
weave	net	tissue	web
weave	waver
whack	wallop	wham	whop
bash	sock	bop	whop
whet	quicken
whiff	puff
whirl	twirl	swirl
whisk	whisk off
white	whiten
wink at	connive at
wipe off	wipe away
wipe up	mop	mop up
wish	care	like	please
wish	wish well
wish	bid
seek	bid
invite	bid
pay for	invite
invite	ask in
withdraw	retreat	move back	pull back	retire	pull away	draw back	recede
retract	pull back	draw back
retract	draw in
retreat	retrograde
withdraw	disengage
wolf	wolf down
work on	work at
worship	idolize	revere
wrap	wrap up
wreck	bust up
wring out	squeeze out
write on	write about	write of
yank	jerk
jerk	twitch
yawn	gape
yelp	yap
zap	vaporize
zap	microwave	nuke
zero	zero in
zip	zip up	zipper
zip	hurry	speed
zoom	zoom along
abandon	desert	desolate	forsake
absorb	engage	engross	involve	occupy
accompany	companion	company	keep company
act	criticize
act	pretend
add	modify	qualify
change	alter	modify
change	alter	narrow	narrow down	specialize	vary
add	include
add	string	string up
add	button
add	add together	foot	foot up
add	append	supply
address	direct	instrument
adjust	align	line up	true	true up
adjust	adapt	conform	square
advance	bring forward	nose
call up	bring forward
advise	advocate	propose	recommend	suggest	urge
hint	suggest
affirm	support	confirm	corroborate	document	substantiate	sustain
support	subscribe
defend	support	fend for
affirm	claim
affirm	confirm	reassert
okay	approve	confirm	sanction
aim	propose	purport	purpose
aim	calculate	direct
air	vent	air out	ventilate
vent	give vent	ventilate
air	bare	publicize
alter	neuter
alter	falsify
angle	slant	weight
answer	resolve
answer	reply	respond	field
apologise	apologize	excuse	justify	rationalize
excuse	beg off
excuse	condone
apply	lend oneself
approach	come on	come near	draw close	draw near	go up	near
approach	border on
approach	go about	set about
argue	reason
argue	indicate
indicate	suggest
argue	fence	contend	debate	dispute	quarrel	scrap
argue	fence	contend	debate	oppose
arm	build up	fortify
arouse	brace	stimulate	energize	perk up
ascend	go up
ask	expect	require
command	require
assemble	gather	get together
attach	seize	confiscate	impound	sequester
attach to	come with	accompany	go with	rule
attack	assault	lash out	assail	round	snipe
attack	set on	assault	assail	rush
attack	assail	pelt	pepper
attack	assail	gas
pour	pelt	sheet	stream
attack	assail	invade	occupy
attack	assail	beleaguer	besiege	circumvent	hem in	surround
attack	assail	bomb	bombard
fence	fence in	surround	wall
attempt	set about	undertake
attend	attend to	serve	wait on	assist
service	serve
attract	appeal
avoid	annul	invalidate	nullify	quash	void
back	back up
back	support	endorse	guarantee	plump for	plunk for	warrant
back	second	endorse
back	punt	stake	bet on	game
back up	clog	choke	choke off	clog up	congest	foul
clog	clot
clog	overload
defile	foul
back up	back down	back off
back up	support	sponsor
banish	bar	relegate
baste	tack
hang on	append	tack	tack on	tag on
be	exist	was
be	equal	was
be	correspond	equal	represent	stand for
be	belong	go
compare	go
compare	equate	liken
be	exist	flow
be	distribute	exist
bear	crop	turn out
bear	fruit	turn out
beat	beat up	work over
beat up	drum up	rally
beat	scramble	cream
beat	flap
wash up	beat	exhaust
beat	drum
bend	turn away	deflect
distract	deflect
bend	crook	curve	flex
bend	arc	arch	curve	flex
bend	double	double over	double up	flex
bestow	confer	graduate
bestow	bring	add	lend	contribute	factor	impart
betray	deceive	impersonate	lead astray	pose
put	set	place	lay	pose	position
betray	deceive	lead astray	lead by the nose	play false	snow
betray	fail
bind	bandage
tie up	bind	tie down	truss
tie up	moor	berth
moor	berth	wharf
tie up	bind off
bite	prick	sting
blast	shell
emerge	shell
bleed	flow	hemorrhage	shed blood
bleed	leech
bless	consecrate	hallow	sanctify
blind	dim
block	forget	blank out	draw a blank	slip
block	parry	deflect
block	blockade	embarrass	hinder	obstruct	stymie
blow	blow out	burn out
blow	boast	bluster	brag	gas	shoot a line	tout
blow	shove off	shove along
blow	suck	go down on
blow	waste	squander
blow	screw up	ball up	botch	botch up	bumble	bungle	fluff	foul up	fuck up	fumble	louse up	mess up	mishandle	muck up	spoil
indulge	baby	coddle	pamper	spoil
mess	mess up
blow out	quench	snuff out	extinguish
crush out	press out	extinguish	stub out
quench	quell	squelch
blow up	enlarge	magnify
blow up	inflate	amplify	expand
blow up	dramatize	embellish	embroider	lard	pad
trudge	tramp	pad	plod	slog
swig	slug	slog
quaff	gulp	swig
slug	idle	stagnate
blow up	combust	blow a fuse	fly off the handle	go ballistic	have a fit	hit the ceiling	hit the roof	throw a fit
board	room
boast	feature	sport
run around	frisk	cavort	gambol	frolic	lark	lark about	romp	sport
book	fine	ticket
boost	advance	encourage	further	promote
boot	reboot	bring up
bother	get to	annoy	chafe	devil	get at	gravel	irritate	nettle	rag	rile	vex
put out	bother	inconvenience	trouble
bother	inconvenience oneself	trouble	trouble oneself
bounce	bound	spring	rebound	recoil	reverberate	ricochet	take a hop
kick	kick back	recoil
bound	throttle	confine	gate	limit	restrain	restrict
bound	throttle	confine	harness	limit	rein	restrain	restrict	rule
strangle	throttle
bound	border
bow	accede	defer	give in	submit
bow	crouch	bend	stoop
brace	guy	stabilize	steady
brand	post
brand	trademark
break	fracture
break	break in
break	split up	come apart	fall apart	separate
break	bust
break	offend	breach	conflict	go against	infringe	violate
break	break out	break away
open	open up	breach	gap
open up	pioneer
shock	offend	appall	outrage
rape	assault	ravish	dishonor	outrage	violate
tear	snap	bust	rupture
break	crack	check
crack	break through
break through	come through
crack	snap
snatch	snatch up	snap
snatch	abduct	kidnap
break	stop	break off	discontinue
break	interrupt
break	break down	die	give out	crash	fail	give way	go	go bad	go down
break	pause
break	unwrap	discover	expose	let out	reveal	bring out	disclose	divulge	give away	let on
let out	widen
extend	widen	broaden
break	get out	get around
break	break off	snap off
break	burst	erupt
break out	erupt
break	smash	ruin	bankrupt
break	split	part	split up	break up	disjoint	dissociate	divorce	separate
split	burst	break open
break down	take apart	dissect	analyze
break down	crush
break down	snap	lose it
break down	collapse	crumble	crumple	tumble
crumble	fall apart
crumple	buckle
crumple	knit	pucker	rumple
get onto	catch on	cotton on	get it	get wise	latch on	tumble	twig
break off	cut off	chip
cut off	amputate
break off	chip	come off	break away	chip off
chip	nick
break through	come out	push through	erupt
break up	dissolve	resolve
break up	break apart	crash
cut off	break up	disrupt	interrupt
break up	dispel	disperse	dissipate	scatter
dust	sprinkle	disperse	dot	scatter
sprinkle	splash	salt
breathe out	exhale	expire
exhale	emanate	give forth
bring	fetch	bring in
bring to	bring back	bring around	bring round
browse	surf
browse	graze	range	crop	pasture
browse	shop
brush off	dismiss	ignore	push aside	brush aside	discount	disregard	slight
ignore	disregard	neglect
build	build up	progress	work up
build	establish
bullshit	bull	fake
burn	combust
burn	bite	sting
burn	burn up	burn off
burn	fire	burn down
burn	glow
fire	fuel
burn down	burn up	go up
burst	explode
burst	abound	bristle
burst	collapse
crack	collapse	break up	crack up	crock up
bury	forget
bury	sink
buy in	stock	stock up
call	ring	phone	call up	telephone
shout	yell	scream	call	cry	holler	shout out	squall
call	send for
cry	weep
holler	squawk	beef	bitch	crab	gripe	grouse
shout	cry	call out	cry out	exclaim	ooh	outcry
call	name	refer
call	name	entitle	title
call	name	term
style	title
call	call in	visit
call	address
inspect	visit
inspect	audit	scrutinize
visit	bring down	impose	inflict
charge	bill	impose	levy
chat	visit	chatter	chew the fat	chitchat	gossip	jaw	shoot the breeze
chew	masticate	jaw
call for	request	quest	reserve
call for	invite
call for	request	desire	quest
call for	request	claim	lay claim	quest
call up	mobilize	rally
calm	sedate
calm	steady
cancel	invalidate
cancel	strike down
delete	cancel
care	worry
distract	disorder	disquiet	perturb	trouble	unhinge	vex	worry
disarray	disorder
carry	convey	express
carry	shoulder	transport
ravish	enchant	delight	enthrall	transport
carry	dribble
drool	slaver	dribble
carry	transmit	channel	conduct	convey	impart
carry off	decimate	annihilate	eliminate	eradicate	extinguish	wipe out
sweep away	wipe out
erase	wipe out
sweep off	sweep away
uproot	eradicate	exterminate	root out
wipe off	erase	rub out	score out
erase	delete
carry on	proceed	continue	go on
carry on	act up
carry on	deal	conduct
deal	share	portion out
carry on	preserve	continue	bear on	uphold
keep up	preserve	conserve	maintain
proceed	continue	go forward
wield	exert	maintain
carry out	put through	follow out	follow through	follow up	go through	implement
carry out	accomplish	action	carry through	execute	fulfill
catch	trip up
catch	hitch
hitch	hobble	limp
catch	capture	bag
stick out	bag	bulge	jut	jut out	project	protrude
pocket	bag
pack	bag
catch	capture	enchant	trance	beguile	bewitch	captivate	charm	enamor	entrance	fascinate
catch out	find out
caution	admonish
challenge	dare	defy
challenge	appeal	take exception
challenge	action	litigate	process	sue
march	process
change	exchange	convert	commute
switch	exchange	switch over
replace	exchange	interchange	substitute
change	exchange	interchange
stand in	fill in	sub	substitute
step in	substitute
switch	trade	swap
change	transfer
charge	saddle	burden	deluge	flood out	overwhelm
drown	submerge	drowned	overwhelm
submerge	deluge	inundate
charge	file	lodge
file	file away
charge	assess	bill
charge	appoint	assign	delegate	designate
chase	furrow
chase	chase after	dog	give chase	go after	tag	tail	track	trail
dock	bob	tail
curtsy	bob
cheat	chisel	job
employ	engage	farm out	hire	job	subcontract
engage	plight
rip off	cheat	chisel
cheat	betray	wander	cheat on
wind	thread	weave	wander	meander
check	see	control	ascertain	assure	ensure	insure	proof	proofread	see to it
check	see	control	ascertain	assure	card	ensure	insure	see to it
check	look into	check out	check into	check over	check up on	go over
fall over	go over
run down	check out
run down	run over
run over	brim over	overflow	overrun	well over
spill over	bubble over	overflow
pour out	spill out	spill over
check	check off	mark	mark off	tick	tick off
check	see	control	ascertain	assure	ensure	insure	see to it	seen
check	stop	arrest	turn back	hold back	contain
check	train	condition	discipline
check	fit	tally	match	agree	consist	correspond	gibe
check	fit	tally	match	agree	correspond	gibe	parallel
check	fit	tally	match	agree	correspond	gibe	square
check	fit	tally	match	agree	correspond	gibe	pattern
fit	equip	fit out	outfit	stock
fit	equip	fit out	instrument	outfit
fit	equip	appoint	fit out	outfit
fit	equip	fit out	outfit	wire
fit in	harmonize	accord	agree	blend	blend in	consort	go
fit	go	joint
mix in	blend in
paddle	feather	square
paddle	dabble	splash around
paddle	totter	waddle
paddle	spank
row	feather	square
scoff	flout	gibe	jeer
suit	agree
suit	befit
cheer	cheers	exhort	inspire	pep up	root on	urge	urge on
inhale	breathe in	inspire
press	exhort	hurry	rush	urge	urge on
press	advocate	exhort	preach	urge	urge on
run	rush
cheer	cheer up	cheers	jolly along	jolly up
cheer	cheers	embolden	hearten	recreate
choose	opt	prefer
chop off	cut off
cut off	cut out
cut out	scratch out
chuck	cast	barf	throw up	vomit	puke	honk	cat	retch	spew	upchuck	be sick	purge	sick	vomit up
chuck	ditch
dump	ditch
dump	plunge
pat	chuck
pat	dab
chuck out	eject	boot out	exclude	turf out	turn out
circle	encircle
circle	circulate
clap	applaud	acclaim	spat
clean	cleanse
clean	clean house
clean up	tidy	tidy up	square away	straighten	straighten out
clear	clear up	enlighten	sort out	crystallize	elucidate	illuminate	shed light on	straighten out
clear	solve
clear	discharge	acquit	exonerate
clear	pass	authorize	declare
proclaim	declare	exclaim	promulgate
proclaim	predicate
proclaim	exalt	extol	glorify	laud
clear	pass	authorize	commission
clear	light up	clear up	brighten
clear out	clean out
clear up	clarify	dilate	elaborate	elucidate	enlarge	expand	expound	flesh out
click	get across	get through	penetrate	come home	dawn	fall into place	sink in
penetrate	infiltrate
click	clack	cluck
climax	crown	culminate	top
complete	finish	top	top off
dispatch	complete	discharge
climb	rise	go up
climb	rise	mount	wax
full	wax
climb	climb up	mount	go up
climb up	ascend
climb down	alight
clip	curtail	cut short
clip	nip	snip	nip off	snip off
jog	clip	trot
close	fill up
close	close up	fold	shut down	close down
fold	pen up
close	conclude
close in	draw in
close up	block	jam	impede	obstruct
shut up	close up	be quiet	belt up	button up	clam up	dummy up	keep mum
collect	pull together	club	garner	gather
collect	pull together	garner	gather	nut
color	colour	blanch	discolor	pale
color	colour	discolor	silver
color	colour	brown	color in
color	colour	color in	silver
color	colour	color in	gray
color	colour	discolor	gray
color	colour	discolor	yellow
color	colour	discolor	tone
color	colour	color in	tone
color	colour	discolor	green
color	colour	blue	discolor
color	colour	distort	tinge
color	colour	emblazon
color	colour	gloss
comb	comb out	disentangle
combine	compound	incorporate	integrate
combine	aggregate
combine	unite
come	come in
come	make out	do	did	fare	get along
get on	get along	get along with	get on with
get on	board
get on	climb on	jump on	mount	hop on	mount up
get on	be on
come	total	add up	amount	average	average out	number
come	fall
come	descend	derive
descend	condescend
stoop	condescend	lower oneself
come	hail
come down	sicken
come down	reduce	boil down
fall	come down	precipitate	rain	rain down
fall	come down	precipitate	snow
scale down	reduce
come off	go off	go over
